AI 	 ME
[9,5] 	[10,4] 
[8,4] 	[10,6] 
[7,3] 	[6,2] 
[8,3] 	[7,4] 
[8,5] 	[8,2] 
[6,3] 	[9,3] 
[5,3] 	[4,3] 
[11,5] 	[10,5] 
[10,3] 	[10,7] 
[10,8] 	[9,6] 
[9,4] 	[7,6] 
[11,2] 	[12,1] 
[11,4] 	[11,3] 
[11,6] 	[8,6] 
[6,6] 	[8,7] 
[6,5] 	[7,5] 
[11,7] 	[11,8] 
[6,7] 	[6,4] 
[12,6] 	[12,9] 
[13,10] 	[13,5] 
[9,9] 	[8,10] 
[7,8] 	[8,8] 
[8,9] 	[5,6] 
[9,10] 	[10,11] 
[9,8] 	[9,11] 
[9,2] 	[12,5] 
[8,1] 	[7,0] 
[7,2] 	[5,4] 
[6,1] 	[5,0] 
[7,1] 	[9,1] 
[4,1] 	[5,1] 
[6,9] 	[6,8] 
[7,9] 	[10,9] 
[5,9] 	
AI Win!
